Project,Date,Hours
Home-Miscellaneous,2014-07-27,1.56
Home-planned,2014-07-20,3.58
Home-planned,2014-07-21,2.55
Home-planned,2014-07-22,1.52
Home-planned,2014-07-23,2.02
Home-planned,2014-07-24,1.28
Home-planned,2014-07-25,0.53
Home-planned,2014-07-26,1.03
Home-planned,2014-07-27,0.57
Home-planned,2014-07-28,5.04
Home-planned,2014-07-29,5.70
Home-planned,2014-07-30,1.82
Home-planned,2014-07-31,3.05
Home-planned,2014-08-02,2.50
Home-planned,2014-08-03,2.65
Home-planned,2014-08-04,2.64
Home-planned,2014-08-05,2.78
Home-planned,2014-08-07,1.67
Home-planned,2014-08-10,2.68
Home-planned,2014-08-15,1.49
Home-planned,2014-08-16,1.08
Home-planned,2014-08-17,0.45
Home-planned,2014-08-18,2.63
break,2014-07-20,1.88
break,2014-07-22,0.42
break,2014-07-23,1.20
break,2014-07-28,3.16
break,2014-07-29,2.16
break,2014-07-30,3.04
break,2014-07-31,1.02
break,2014-08-02,1.43
break,2014-08-03,0.66
break,2014-08-04,0.81
break,2014-08-05,0.82
break,2014-08-06,1.01
break,2014-08-07,1.21
break,2014-08-10,2.70
break,2014-08-12,0.38
break,2014-08-15,1.21
break,2014-08-18,0.75
work,2014-07-25,1.91
work,2014-07-31,1.80
work,2014-08-07,2.07
work,2014-08-11,3.93
work,2014-08-12,0.67
work,2014-08-13,1.53
